model,split,task,metric,n,mean,std,min,max,train_seeds,values
baseline,validation,authenticity,accuracy,3,0.8,0.0,0.8,0.8,"11,21,42","[0.8, 0.8, 0.8]"
baseline,validation,authenticity,macro_f1,3,0.79992,0.0,0.79992,0.79992,"11,21,42","[0.7999199679871949, 0.7999199679871949, 0.7999199679871949]"
baseline,validation,authenticity,precision_macro,3,0.800481,0.0,0.800481,0.800481,"11,21,42","[0.8004807692307692, 0.8004807692307692, 0.8004807692307692]"
baseline,validation,authenticity,recall_macro,3,0.8,0.0,0.8,0.8,"11,21,42","[0.8, 0.8, 0.8]"
baseline,validation,authenticity,support,3,100.0,0.0,100.0,100.0,"11,21,42","[100.0, 100.0, 100.0]"
baseline,validation,authenticity,weighted_f1,3,0.79992,0.0,0.79992,0.79992,"11,21,42","[0.7999199679871949, 0.7999199679871949, 0.7999199679871949]"
baseline,validation,sentiment,accuracy,3,0.82,0.0,0.82,0.82,"11,21,42","[0.82, 0.82, 0.82]"
baseline,validation,sentiment,macro_f1,3,0.876276,0.0,0.876276,0.876276,"11,21,42","[0.8762755102040817, 0.8762755102040817, 0.8762755102040817]"
baseline,validation,sentiment,precision_macro,3,0.876378,0.0,0.876378,0.876378,"11,21,42","[0.8763778132199184, 0.8763778132199184, 0.8763778132199184]"
baseline,validation,sentiment,recall_macro,3,0.876289,0.0,0.876289,0.876289,"11,21,42","[0.8762886597938144, 0.8762886597938144, 0.8762886597938144]"
baseline,validation,sentiment,support,3,200.0,0.0,200.0,200.0,"11,21,42","[200.0, 200.0, 200.0]"
baseline,validation,sentiment,weighted_f1,3,0.819981,0.0,0.819981,0.819981,"11,21,42","[0.8199808673469389, 0.8199808673469389, 0.8199808673469389]"
baseline,test,authenticity,accuracy,3,0.8,0.0,0.8,0.8,"11,21,42","[0.8, 0.8, 0.8]"
baseline,test,authenticity,macro_f1,3,0.79992,0.0,0.79992,0.79992,"11,21,42","[0.7999199679871949, 0.7999199679871949, 0.7999199679871949]"
baseline,test,authenticity,precision_macro,3,0.800481,0.0,0.800481,0.800481,"11,21,42","[0.8004807692307692, 0.8004807692307692, 0.8004807692307692]"
baseline,test,authenticity,recall_macro,3,0.8,0.0,0.8,0.8,"11,21,42","[0.8, 0.8, 0.8]"
baseline,test,authenticity,support,3,100.0,0.0,100.0,100.0,"11,21,42","[100.0, 100.0, 100.0]"
baseline,test,authenticity,weighted_f1,3,0.79992,0.0,0.79992,0.79992,"11,21,42","[0.7999199679871949, 0.7999199679871949, 0.7999199679871949]"
baseline,test,sentiment,accuracy,3,0.8,0.0,0.8,0.8,"11,21,42","[0.8, 0.8, 0.8]"
baseline,test,sentiment,macro_f1,3,0.736842,0.0,0.736842,0.736842,"11,21,42","[0.7368421052631579, 0.7368421052631579, 0.7368421052631579]"
baseline,test,sentiment,precision_macro,3,0.738462,0.0,0.738462,0.738462,"11,21,42","[0.7384615384615385, 0.7384615384615385, 0.7384615384615385]"
baseline,test,sentiment,recall_macro,3,0.737037,0.0,0.737037,0.737037,"11,21,42","[0.737037037037037, 0.737037037037037, 0.737037037037037]"
baseline,test,sentiment,support,3,200.0,0.0,200.0,200.0,"11,21,42","[200.0, 200.0, 200.0]"
baseline,test,sentiment,weighted_f1,3,0.800211,0.0,0.800211,0.800211,"11,21,42","[0.8002105263157895, 0.8002105263157895, 0.8002105263157895]"
multitask,validation,authenticity,accuracy,3,0.856667,0.040415,0.82,0.9,"11,21,42","[0.9, 0.85, 0.82]"
multitask,validation,authenticity,macro_f1,3,0.856016,0.041254,0.818182,0.9,"11,21,42","[0.9, 0.8498648783905515, 0.8181818181818181]"
multitask,validation,authenticity,precision_macro,3,0.861533,0.034499,0.833333,0.9,"11,21,42","[0.9, 0.851264552388599, 0.8333333333333334]"
multitask,validation,authenticity,recall_macro,3,0.856667,0.040415,0.82,0.9,"11,21,42","[0.9, 0.85, 0.8200000000000001]"
multitask,validation,authenticity,support,3,100.0,0.0,100.0,100.0,"11,21,42","[100.0, 100.0, 100.0]"
multitask,validation,authenticity,weighted_f1,3,0.856016,0.041254,0.818182,0.9,"11,21,42","[0.9, 0.8498648783905515, 0.8181818181818181]"
multitask,validation,sentiment,accuracy,3,0.788333,0.005774,0.785,0.795,"11,21,42","[0.785, 0.795, 0.785]"
multitask,validation,sentiment,macro_f1,3,0.710578,0.150007,0.53766,0.805792,"11,21,42","[0.788283032773057, 0.5376600281425081, 0.8057922584238373]"
multitask,validation,sentiment,precision_macro,3,0.728204,0.172389,0.534408,0.864474,"11,21,42","[0.8644736842105263, 0.5344077247382021, 0.7857306459001374]"
multitask,validation,sentiment,recall_macro,3,0.71554,0.155483,0.546392,0.852234,"11,21,42","[0.7479954180985109, 0.5463917525773195, 0.852233676975945]"
multitask,validation,sentiment,support,3,200.0,0.0,200.0,200.0,"11,21,42","[200.0, 200.0, 200.0]"
multitask,validation,sentiment,weighted_f1,3,0.782558,0.000347,0.782295,0.782952,"11,21,42","[0.7829518126847979, 0.7822953409473493, 0.7824277360066832]"
multitask,test,authenticity,accuracy,3,0.916667,0.051316,0.86,0.96,"11,21,42","[0.96, 0.93, 0.86]"
multitask,test,authenticity,macro_f1,3,0.915958,0.052431,0.857955,0.959984,"11,21,42","[0.959983993597439, 0.9299369432489241, 0.8579545454545454]"
multitask,test,authenticity,precision_macro,3,0.924765,0.039804,0.882003,0.960737,"11,21,42","[0.9607371794871795, 0.9315535929345644, 0.8820033955857385]"
multitask,test,authenticity,recall_macro,3,0.916667,0.051316,0.86,0.96,"11,21,42","[0.96, 0.9299999999999999, 0.86]"
multitask,test,authenticity,support,3,100.0,0.0,100.0,100.0,"11,21,42","[100.0, 100.0, 100.0]"
multitask,test,authenticity,weighted_f1,3,0.915958,0.052431,0.857955,0.959984,"11,21,42","[0.959983993597439, 0.9299369432489241, 0.8579545454545454]"
multitask,test,sentiment,accuracy,3,0.731667,0.035473,0.7,0.77,"11,21,42","[0.725, 0.77, 0.7]"
multitask,test,sentiment,macro_f1,3,0.585569,0.066498,0.517647,0.650544,"11,21,42","[0.6505441620256729, 0.5176470588235295, 0.5885168336357837]"
multitask,test,sentiment,precision_macro,3,0.616294,0.096014,0.526384,0.717425,"11,21,42","[0.7174247418149857, 0.5263835263835265, 0.6050729027828264]"
multitask,test,sentiment,recall_macro,3,0.584084,0.051931,0.525253,0.623548,"11,21,42","[0.6235479797979798, 0.5252525252525252, 0.6034511784511785]"
multitask,test,sentiment,support,3,200.0,0.0,200.0,200.0,"11,21,42","[200.0, 200.0, 200.0]"
multitask,test,sentiment,weighted_f1,3,0.723442,0.032257,0.693227,0.757412,"11,21,42","[0.7196882175944255, 0.7574117647058825, 0.6932270862853307]"
single-task-authenticity,validation,authenticity,accuracy,3,0.806667,0.058595,0.74,0.85,"11,21,42","[0.85, 0.83, 0.74]"
single-task-authenticity,validation,authenticity,macro_f1,3,0.803045,0.064757,0.729167,0.849985,"11,21,42","[0.84998499849985, 0.8299829982998299, 0.7291666666666667]"
single-task-authenticity,validation,authenticity,precision_macro,3,0.821995,0.032975,0.785714,0.85014,"11,21,42","[0.8501400560224089, 0.8301320528211285, 0.7857142857142857]"
single-task-authenticity,validation,authenticity,recall_macro,3,0.806667,0.058595,0.74,0.85,"11,21,42","[0.85, 0.83, 0.74]"
single-task-authenticity,validation,authenticity,support,3,100.0,0.0,100.0,100.0,"11,21,42","[100.0, 100.0, 100.0]"
single-task-authenticity,validation,authenticity,weighted_f1,3,0.803045,0.064757,0.729167,0.849985,"11,21,42","[0.84998499849985, 0.82998299829983, 0.7291666666666665]"
single-task-authenticity,test,authenticity,accuracy,3,0.84,0.095394,0.73,0.9,"11,21,42","[0.9, 0.89, 0.73]"
single-task-authenticity,test,authenticity,macro_f1,3,0.83277,0.107498,0.708769,0.899639,"11,21,42","[0.8996386993175431, 0.8899009108197378, 0.7087692805522597]"
single-task-authenticity,test,authenticity,precision_macro,3,0.873976,0.043302,0.824675,0.905844,"11,21,42","[0.9058441558441559, 0.8914090726615818, 0.8246753246753247]"
single-task-authenticity,test,authenticity,recall_macro,3,0.84,0.095394,0.73,0.9,"11,21,42","[0.8999999999999999, 0.89, 0.73]"
single-task-authenticity,test,authenticity,support,3,100.0,0.0,100.0,100.0,"11,21,42","[100.0, 100.0, 100.0]"
single-task-authenticity,test,authenticity,weighted_f1,3,0.83277,0.107498,0.708769,0.899639,"11,21,42","[0.8996386993175431, 0.8899009108197379, 0.7087692805522597]"
single-task-sentiment,validation,sentiment,accuracy,3,0.833333,0.023629,0.815,0.86,"11,21,42","[0.86, 0.815, 0.825]"
single-task-sentiment,validation,sentiment,macro_f1,3,0.635961,0.140793,0.551004,0.798478,"11,21,42","[0.7984777388199858, 0.5510044306792273, 0.5583993763804079]"
