model,split,task,metric,mean,std,ci_low,ci_high,n
baseline,test,authenticity,accuracy,0.8,0.0,0.8,0.8,3
baseline,test,authenticity,macro_f1,0.79992,0.0,0.79992,0.79992,3
baseline,test,authenticity,precision_macro,0.800481,0.0,0.800481,0.800481,3
baseline,test,authenticity,recall_macro,0.8,0.0,0.8,0.8,3
baseline,test,authenticity,support,100.0,0.0,100.0,100.0,3
baseline,test,authenticity,weighted_f1,0.79992,0.0,0.79992,0.79992,3
baseline,test,sentiment,accuracy,0.8,0.0,0.8,0.8,3
baseline,test,sentiment,macro_f1,0.736842,0.0,0.736842,0.736842,3
baseline,test,sentiment,precision_macro,0.738462,0.0,0.738462,0.738462,3
baseline,test,sentiment,recall_macro,0.737037,0.0,0.737037,0.737037,3
baseline,test,sentiment,support,200.0,0.0,200.0,200.0,3
baseline,test,sentiment,weighted_f1,0.800211,0.0,0.800211,0.800211,3
baseline,validation,authenticity,accuracy,0.8,0.0,0.8,0.8,3
baseline,validation,authenticity,macro_f1,0.79992,0.0,0.79992,0.79992,3
baseline,validation,authenticity,precision_macro,0.800481,0.0,0.800481,0.800481,3
baseline,validation,authenticity,recall_macro,0.8,0.0,0.8,0.8,3
baseline,validation,authenticity,support,100.0,0.0,100.0,100.0,3
baseline,validation,authenticity,weighted_f1,0.79992,0.0,0.79992,0.79992,3
baseline,validation,sentiment,accuracy,0.82,0.0,0.82,0.82,3
baseline,validation,sentiment,macro_f1,0.876276,0.0,0.876276,0.876276,3
baseline,validation,sentiment,precision_macro,0.876378,0.0,0.876378,0.876378,3
baseline,validation,sentiment,recall_macro,0.876289,0.0,0.876289,0.876289,3
baseline,validation,sentiment,support,200.0,0.0,200.0,200.0,3
baseline,validation,sentiment,weighted_f1,0.819981,0.0,0.819981,0.819981,3
multitask,test,authenticity,accuracy,0.916667,0.051316,0.78918,1.0,3
multitask,test,authenticity,macro_f1,0.915958,0.052431,0.785701,1.0,3
multitask,test,authenticity,precision_macro,0.924765,0.039804,0.825879,1.0,3
multitask,test,authenticity,recall_macro,0.916667,0.051316,0.78918,1.0,3
multitask,test,authenticity,support,100.0,0.0,100.0,100.0,3
multitask,test,authenticity,weighted_f1,0.915958,0.052431,0.785701,1.0,3
multitask,test,sentiment,accuracy,0.731667,0.035473,0.64354,0.819794,3
multitask,test,sentiment,macro_f1,0.585569,0.066498,0.420367,0.750772,3
multitask,test,sentiment,precision_macro,0.616294,0.096014,0.377763,0.854824,3
multitask,test,sentiment,recall_macro,0.584084,0.051931,0.45507,0.713098,3
multitask,test,sentiment,support,200.0,0.0,200.0,200.0,3
multitask,test,sentiment,weighted_f1,0.723442,0.032257,0.643306,0.803579,3
multitask,validation,authenticity,accuracy,0.856667,0.040415,0.756263,0.95707,3
multitask,validation,authenticity,macro_f1,0.856016,0.041254,0.753526,0.958505,3
multitask,validation,authenticity,precision_macro,0.861533,0.034499,0.775825,0.94724,3
multitask,validation,authenticity,recall_macro,0.856667,0.040415,0.756263,0.95707,3
multitask,validation,authenticity,support,100.0,0.0,100.0,100.0,3
multitask,validation,authenticity,weighted_f1,0.856016,0.041254,0.753526,0.958505,3
multitask,validation,sentiment,accuracy,0.788333,0.005774,0.77399,0.802677,3
multitask,validation,sentiment,macro_f1,0.710578,0.150007,0.337909,1.0,3
multitask,validation,sentiment,precision_macro,0.728204,0.172389,0.299932,1.0,3
multitask,validation,sentiment,recall_macro,0.71554,0.155483,0.329269,1.0,3
multitask,validation,sentiment,support,200.0,0.0,200.0,200.0,3
multitask,validation,sentiment,weighted_f1,0.782558,0.000347,0.781696,0.783421,3
single-task-authenticity,test,authenticity,accuracy,0.84,0.095394,0.603009,1.0,3
single-task-authenticity,test,authenticity,macro_f1,0.83277,0.107498,0.565709,1.0,3
single-task-authenticity,test,authenticity,precision_macro,0.873976,0.043302,0.7664,0.981552,3
single-task-authenticity,test,authenticity,recall_macro,0.84,0.095394,0.603009,1.0,3
single-task-authenticity,test,authenticity,support,100.0,0.0,100.0,100.0,3
single-task-authenticity,test,authenticity,weighted_f1,0.83277,0.107498,0.565709,1.0,3
single-task-authenticity,validation,authenticity,accuracy,0.806667,0.058595,0.661098,0.952236,3
single-task-authenticity,validation,authenticity,macro_f1,0.803045,0.064757,0.642166,0.963924,3
single-task-authenticity,validation,authenticity,precision_macro,0.821995,0.032975,0.740075,0.903915,3
single-task-authenticity,validation,authenticity,recall_macro,0.806667,0.058595,0.661098,0.952236,3
single-task-authenticity,validation,authenticity,support,100.0,0.0,100.0,100.0,3
single-task-authenticity,validation,authenticity,weighted_f1,0.803045,0.064757,0.642166,0.963924,3
single-task-sentiment,test,sentiment,accuracy,0.815,0.013229,0.782135,0.847865,3
single-task-sentiment,test,sentiment,macro_f1,0.581414,0.052556,0.450848,0.711981,3
single-task-sentiment,test,sentiment,precision_macro,0.602366,0.092521,0.372513,0.832219,3
single-task-sentiment,test,sentiment,recall_macro,0.578199,0.034721,0.49194,0.664458,3
single-task-sentiment,test,sentiment,support,200.0,0.0,200.0,200.0,3
single-task-sentiment,test,sentiment,weighted_f1,0.80632,0.012499,0.775268,0.837371,3
single-task-sentiment,validation,sentiment,accuracy,0.833333,0.023629,0.774631,0.892036,3
single-task-sentiment,validation,sentiment,macro_f1,0.635961,0.140793,0.286184,0.985737,3
single-task-sentiment,validation,sentiment,precision_macro,0.669407,0.204365,0.161694,1.0,3
single-task-sentiment,validation,sentiment,recall_macro,0.624857,0.106201,0.361018,0.888695,3
single-task-sentiment,validation,sentiment,support,200.0,0.0,200.0,200.0,3
single-task-sentiment,validation,sentiment,weighted_f1,0.824211,0.030137,0.749341,0.899082,3
